fold,model,family,reduction,optimizer,n_train,n_test,inner_f1,n_evaluations,convergence,stopped_early,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,dataset
5,VQC,quantum,LDA,pso,1200,2000,0.4743038504299733,95,"[0.46486013526473496, 0.470023415624274, 0.4711110346274057, 0.47293187880636195, 0.47293187880636195, 0.4743038504299733, 0.4743038504299733, 0.4743038504299733, 0.4743038504299733, 0.4743038504299733, 0.4743038504299733, 0.4743038504299733]",False,1283.6547466000193,"{'n_layers': 1, 'learning_rate': 0.005105021023678549, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'linear', 'init_scale': 0.399083354838202}",0.7025,0.3754993342210386,0.6911764705882353,0.4866264020707506,0.6982892403192433,0.3300118769143771,0.7581119445265543,1123,469,126,282,ok,3.72511850000592,1,Bank Customer Churn
6,VQC,quantum,LDA,pso,1200,2000,0.5044871794871795,96,"[0.4961839851983019, 0.4961839851983019, 0.4961839851983019, 0.5021290091282645, 0.5021290091282645, 0.5021290091282645, 0.5021290091282645, 0.5021290091282645, 0.5021290091282645, 0.5021290091282645, 0.5021290091282645, 0.5044871794871795]",False,1791.1864367999951,"{'n_layers': 5, 'learning_rate': 0.0027741550864964536, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'circular', 'init_scale': 0.3881980773860989}",0.708,0.3739255014326647,0.6397058823529411,0.4719710669077758,0.6826041974578776,0.3087515608360663,0.7518289979308307,1155,437,147,261,ok,4.49451330001466,1,Bank Customer Churn
7,VQC,quantum,LDA,pso,1200,2000,0.435088429789991,95,"[0.43242154392286086, 0.43242154392286086, 0.43242154392286086, 0.43242154392286086, 0.43242154392286086, 0.43508842978999107, 0.43508842978999107, 0.43508842978999107, 0.43508842978999107, 0.43508842978999107, 0.43508842978999107, 0.43508842978999107]",False,1619.9644121999736,"{'n_layers': 4, 'learning_rate': 0.041573536695985736, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'circular', 'init_scale': 0.021466871098428694}",0.721,0.3840245775729646,0.6142506142506142,0.4725897920604915,0.6812621558384271,0.3114911843574153,0.740722232247656,1192,401,157,250,ok,5.717621300020255,1,Bank Customer Churn
8,VQC,quantum,LDA,pso,1200,2000,0.4985546477214064,96,"[0.48113578764839265, 0.4833868112088843, 0.4985546477214064, 0.4985546477214064, 0.4985546477214064, 0.4985546477214064, 0.4985546477214064, 0.4985546477214064, 0.4985546477214064, 0.4985546477214064, 0.4985546477214064, 0.4985546477214064]",False,1762.209268900042,"{'n_layers': 5, 'learning_rate': 0.4372965742436517, 'map_reps': 2, 'feature_map': 'angle', 'entanglement': 'circular', 'init_scale': 0.20721842836788046}",0.7185,0.3821752265861027,0.6216216216216216,0.4733395696913002,0.6824366739620977,0.3121692943487693,0.7233196216247063,1184,409,154,253,ok,5.674188299977686,1,Bank Customer Churn
9,VQC,quantum,LDA,pso,1200,2000,0.4859225741578682,96,"[0.46815076907956166, 0.47450506274035686, 0.4780399071623758, 0.47982643350380044, 0.47982643350380044, 0.47982643350380044, 0.47982643350380044, 0.47982643350380044, 0.47982643350380044, 0.48401762725292136, 0.48592257415786827, 0.48592257415786827]",False,1487.9637441000086,"{'n_layers': 2, 'learning_rate': 0.028765234915566706, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'full', 'init_scale': 0.15590461440985637}",0.677,0.3558504221954162,0.7248157248157249,0.4773462783171521,0.6947995761555084,0.318395838638701,0.7647786461345785,1059,534,112,295,ok,5.0188600000110455,1,Bank Customer Churn
10,VQC,quantum,LDA,pso,1200,2000,0.4856950340273567,96,"[0.4800869070094998, 0.4800869070094998, 0.4800869070094998, 0.48156908257150555, 0.48156908257150555, 0.48156908257150555, 0.48156908257150555, 0.48156908257150555, 0.48276686056327883, 0.48276686056327883, 0.4856950340273567, 0.4856950340273567]",False,1503.4683050999884,"{'n_layers': 4, 'learning_rate': 0.01725027226856825, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'linear', 'init_scale': 0.18338271622213825}",0.709,0.3804945054945055,0.678921568627451,0.4876760563380282,0.6978150556705094,0.331345980184912,0.7581427357375111,1141,451,131,277,ok,6.9301668999833055,1,Bank Customer Churn
11,VQC,quantum,LDA,pso,1200,2000,0.5181293632490687,96,"[0.4970052368410712, 0.5052239575279626, 0.511153021287959, 0.511153021287959, 0.511153021287959, 0.511153021287959, 0.5135141637460129, 0.5135141637460129, 0.5151556577393898, 0.5151556577393898, 0.5181293632490687, 0.5181293632490687]",False,1161.941636100004,"{'n_layers': 2, 'learning_rate': 0.27406012922887785, 'map_reps': 1, 'feature_map': 'zz', 'entanglement': 'full', 'init_scale': 0.23631263389530613}",0.637,0.334375,0.7867647058823529,0.4692982456140351,0.6926913981673071,0.3108434000738503,0.7594128731894768,953,639,87,321,ok,5.151850999973249,1,Bank Customer Churn
12,VQC,quantum,LDA,pso,1200,2000,0.4832851523087213,96,"[0.48021975543165213, 0.48022908588390517, 0.48022908588390517, 0.4832851523087213, 0.4832851523087213, 0.4832851523087213, 0.4832851523087213, 0.4832851523087213, 0.4832851523087213, 0.4832851523087213, 0.4832851523087213, 0.4832851523087213]",False,1490.8206360000186,"{'n_layers': 3, 'learning_rate': 0.03996101350776912, 'map_reps': 2, 'feature_map': 'angle', 'entanglement': 'linear', 'init_scale': 0.5}",0.6865,0.3628428927680798,0.714987714987715,0.4813895781637717,0.6971046547317734,0.3238294748134855,0.7489847320355795,1082,511,116,291,ok,6.451047300011851,1,Bank Customer Churn
13,VQC,quantum,LDA,pso,1200,2000,0.4593094573545122,96,"[0.4454215025803661, 0.45816501315046304, 0.45816501315046304, 0.45816501315046304, 0.45816501315046304, 0.45816501315046304, 0.45816501315046304, 0.45837646710350266, 0.45837646710350266, 0.4592173853913872, 0.45930945735451223, 0.45930945735451223]",False,1110.1976288000003,"{'n_layers': 2, 'learning_rate': 0.009380255506882778, 'map_reps': 1, 'feature_map': 'zz', 'entanglement': 'circular', 'init_scale': 0.3418349933648427}",0.6755,0.3468354430379747,0.6732186732186732,0.4578111946532999,0.6746507678711069,0.2876731684861625,0.7297497805972382,1077,516,133,274,ok,5.979410300031304,1,Bank Customer Churn
14,VQC,quantum,LDA,pso,1200,2000,0.4584106385250064,89,"[0.43284168085869795, 0.4414424563170112, 0.4484698214455716, 0.4517932769652215, 0.45211662196265495, 0.45253911325952495, 0.45438117053259, 0.45438117053259, 0.45438117053259, 0.4584106385250064, 0.4584106385250064, 0.4584106385250064]",False,1621.2653691000305,"{'n_layers': 4, 'learning_rate': 0.0027761001847688574, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'circular', 'init_scale': 0.5}",0.6785,0.3521303258145363,0.6904176904176904,0.4663900414937759,0.6829364032753864,0.3008025716236061,0.7492361390666477,1076,517,126,281,ok,6.03735219995724,1,Bank Customer Churn
