fold,model,family,reduction,optimizer,n_train,n_test,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,dataset,inner_f1,n_evaluations,convergence,stopped_early
3,MLP,classical,LDA,default,491,123,2.00001522898674e-07,{},0.6991869918699187,0.7640449438202247,0.8095238095238095,0.7861271676300579,0.6355311355311355,0.2820373058152866,0.7264957264957266,18,21,16,68,ok,0.0833945999620482,1,Loan Approval,,,,
4,MLP,classical,LDA,default,492,122,2.00001522898674e-07,{},0.7459016393442623,0.8192771084337349,0.8095238095238095,0.8143712574850299,0.7073934837092732,0.4118937423758572,0.7493734335839599,23,15,16,68,ok,0.1218257999862544,1,Loan Approval,,,,
5,MLP,classical,LDA,default,491,123,1.00000761449337e-07,{},0.7235772357723578,0.8072289156626506,0.788235294117647,0.7976190476190477,0.6835913312693498,0.3621715952263852,0.7464396284829722,22,16,18,67,ok,0.0993240000098012,1,Loan Approval,,,,
6,MLP,classical,LDA,default,491,123,2.00001522898674e-07,{},0.7804878048780488,0.8152173913043478,0.8823529411764706,0.847457627118644,0.7174922600619196,0.4629139861965798,0.7705882352941177,21,17,10,75,ok,0.0652178000309504,1,Loan Approval,,,,
7,MLP,classical,LDA,default,491,123,3.00002284348011e-07,{},0.7560975609756098,0.813953488372093,0.8333333333333334,0.8235294117647058,0.7115384615384616,0.4292805345051568,0.7582417582417582,23,16,14,70,ok,0.1158810000051744,1,Loan Approval,,,,
8,MLP,classical,LDA,default,491,123,3.00002284348011e-07,{},0.7317073170731707,0.7865168539325843,0.8333333333333334,0.8092485549132948,0.6730769230769231,0.3601692621560079,0.6617826617826618,20,19,14,70,ok,0.1066353999776765,1,Loan Approval,,,,
9,MLP,classical,LDA,default,492,122,3.00002284348011e-07,{},0.7295081967213115,0.84,0.75,0.7924528301886793,0.7171052631578947,0.4131923081794164,0.8164160401002507,26,12,21,63,ok,0.1192339000408537,1,Loan Approval,,,,
10,MLP,classical,LDA,default,491,123,3.00002284348011e-07,{},0.6666666666666666,0.7894736842105263,0.7058823529411765,0.7453416149068323,0.6424148606811146,0.2708512480295055,0.7160990712074303,22,16,25,60,ok,0.1007576999836601,1,Loan Approval,,,,
11,MLP,classical,LDA,default,491,123,3.00002284348011e-07,{},0.7398373983739838,0.7789473684210526,0.8705882352941177,0.8222222222222222,0.6589783281733747,0.3503711705726698,0.7080495356037151,17,21,11,74,ok,0.0708776999963447,1,Loan Approval,,,,
12,MLP,classical,LDA,default,491,123,4.00003045797348e-07,{},0.7967479674796748,0.8314606741573034,0.8809523809523809,0.8554913294797688,0.7481684981684982,0.5164331748374504,0.7832722832722833,24,15,10,74,ok,0.1045315999654121,1,Loan Approval,,,,
13,MLP,classical,LDA,default,491,123,3.00002284348011e-07,{},0.6910569105691057,0.7948717948717948,0.7380952380952381,0.7654320987654321,0.663919413919414,0.3167223977494395,0.732905982905983,23,16,22,62,ok,0.0911664000013843,1,Loan Approval,,,,
14,MLP,classical,LDA,default,492,122,3.00002284348011e-07,{},0.7786885245901639,0.8433734939759037,0.8333333333333334,0.8383233532934131,0.7456140350877194,0.4878016526022237,0.7951127819548872,25,13,14,70,ok,0.1134111999999731,1,Loan Approval,,,,
0,XGBoost,classical,LDA,default,491,123,2.00001522898674e-07,{},0.6666666666666666,0.8793103448275862,0.6,0.7132867132867133,0.7078947368421052,0.384861152805052,0.7690402476780186,31,7,34,51,ok,0.713239100005012,1,Loan Approval,,,,
1,XGBoost,classical,LDA,default,491,123,2.00001522898674e-07,{},0.7154471544715447,0.8205128205128205,0.7529411764705882,0.7852760736196319,0.6922600619195046,0.3688644288853023,0.7726006191950464,24,14,21,64,ok,0.6789420999702998,1,Loan Approval,,,,
