_cfg,DecisionTree | LDA | default,DecisionTree | LDA | gwo,DecisionTree | PCA | default,DecisionTree | PCA | gwo,LogReg | LDA | default,LogReg | LDA | gwo,LogReg | PCA | default,LogReg | PCA | gwo,MLP | LDA | default,MLP | LDA | gwo,MLP | PCA | default,MLP | PCA | gwo,QDT | LDA | default,QDT | LDA | gwo,QDT | PCA | default,QDT | PCA | gwo,QNN | LDA | default,QNN | LDA | gwo,QNN | PCA | default,QNN | PCA | gwo,QSVC | LDA | default,QSVC | LDA | gwo,QSVC | PCA | default,QSVC | PCA | gwo,RandomForest | LDA | default,RandomForest | LDA | gwo,RandomForest | PCA | default,RandomForest | PCA | gwo,SVC | LDA | default,SVC | LDA | gwo,SVC | PCA | default,SVC | PCA | gwo,VQC | LDA | default,VQC | LDA | gwo,VQC | PCA | default,VQC | PCA | gwo,XGBoost | LDA | default,XGBoost | LDA | gwo,XGBoost | PCA | default,XGBoost | PCA | gwo
QSVC | LDA | gwo,0.3421405831091747,0.9999972074421936,1.3064758065617355e-05,0.0003409211683601532,0.9988466579074913,0.9999999179327062,0.004739462854150722,0.0001519093637046831,0.9998696319875133,0.999999991538006,3.403937480772612e-07,1.180612814177806e-07,2.4978408230680316e-10,1.980404729096108e-10,1.3064758065617355e-05,2.5511832646429866e-09,0.9999890194927057,0.979787482378106,1.3388946796810686e-06,0.01973635119446082,2.522263080617648e-07,1.0,3.2978319759457975e-06,4.47986985511184e-05,0.5336078982189085,0.999999991538006,3.2978319759457975e-06,1.3664628692122704e-05,1.0,1.0,1.3064758065617355e-05,0.011604366872581262,1.0910241404538112e-05,1.0,3.57755569391216e-07,0.00041543322212633793,0.46024132729236544,0.9999999999976431,2.6585806686352242e-05,2.5511832646429866e-09
QSVC | PCA | default,0.7986646268244456,0.006013468273000866,1.0,0.9999999999998874,0.03267841511677316,0.002807460198090639,0.99999901398864,0.9999999999999999,0.016412021045465353,0.0018229899932913352,1.0,1.0,0.9999984460557076,0.9999972074421936,1.0,0.9999999991831008,0.008389532086560014,0.10023121835657145,1.0,0.9997581661610528,1.0,3.2978319759457975e-06,1.0,1.0,0.6145110173065691,0.0018229899932913352,1.0,1.0,5.096475369625875e-05,1.962376234732055e-06,1.0,0.9999619866314222,1.0,8.309848095744421e-06,1.0,0.999999999999462,0.686607604535203,0.0005053219210999771,1.0,0.9999999991831008
QSVC | PCA | gwo,0.9786736216891574,0.03664604800938631,1.0,1.0,0.14595330834558107,0.01914326817744072,0.9999999999944995,1.0,0.08425196941307944,0.013179768542676995,0.9999999999999413,0.9999999999723816,0.9988466579074913,0.9983955417897327,1.0,0.9999838568883811,0.04846230849663291,0.3363672465000672,1.0,0.9999999020035647,0.9999999999996037,4.47986985511184e-05,1.0,1.0,0.9173410338276584,0.013179768542676995,1.0,1.0,0.0005462292352566012,2.7777451257482433e-05,1.0,0.9999999962732679,1.0,0.00010463125023452147,0.9999999999999578,1.0,0.9469151003414261,0.0042744416527059625,1.0,0.9999838568883811
RandomForest | LDA | default,1.0,0.9999857851320557,0.7986646268244456,0.9930893901829384,0.9999999984134736,0.9998216223184626,0.9999926161190934,0.9775117462089434,0.9999998609955637,0.9994283668972179,0.3137973916747422,0.21033733588324433,0.010202859856323743,0.0089581022123848,0.7986646268244456,0.035616391101839784,0.9999962879870898,0.9999999999999848,0.4866653840876871,0.9999999954110016,0.2815912077440581,0.5336078982189085,0.6145110173065691,0.9173410338276584,1.0,0.9994283668972179,0.6145110173065691,0.8039483028376179,0.8860543551601363,0.46024132729236544,0.7986646268244456,0.9999998831863158,0.7768429013129663,0.6673039604036033,0.3193597718255927,0.9950659666189392,1.0,0.9921313873593086,0.8741590414742166,0.035616391101839784
RandomForest | LDA | gwo,0.9939477071030552,1.0,0.005251188337715318,0.05551740008860029,0.9999999999999999,1.0,0.2815912077440581,0.03174773476367143,1.0,1.0,0.00030253365664056897,0.00012880043850527212,7.863407842645387e-07,6.467710680357897e-07,0.005251188337715318,5.499833346189753e-06,1.0,0.9999999999234677,0.0008995380773545447,0.5538707549040766,0.00023778393494355843,0.999999991538006,0.0018229899932913352,0.013179768542676995,0.9994283668972179,1.0,0.0018229899932913352,0.005432861293049096,0.9999999999999998,0.9999999313935625,0.005251188337715318,0.4406981775554123,0.004579465515583081,0.9999999999019166,0.0003148458677624255,0.06343355702029341,0.9985207764571352,1.0,0.0089581022123848,5.499833346189753e-06
RandomForest | PCA | default,0.7986646268244456,0.006013468273000866,1.0,0.9999999999998874,0.03267841511677316,0.002807460198090639,0.99999901398864,0.9999999999999999,0.016412021045465353,0.0018229899932913352,1.0,1.0,0.9999984460557076,0.9999972074421936,1.0,0.9999999991831008,0.008389532086560014,0.10023121835657145,1.0,0.9997581661610528,1.0,3.2978319759457975e-06,1.0,1.0,0.6145110173065691,0.0018229899932913352,1.0,1.0,5.096475369625875e-05,1.962376234732055e-06,1.0,0.9999619866314222,1.0,8.309848095744421e-06,1.0,0.999999999999462,0.686607604535203,0.0005053219210999771,1.0,0.9999999991831008
RandomForest | PCA | gwo,0.9263252129114337,0.016412021045465353,1.0,1.0,0.07610603864074139,0.00811787999624769,0.9999999962732679,1.0,0.04103018959720972,0.005432861293049096,1.0,0.9999999999999925,0.9999154305617493,0.9998696319875133,1.0,0.9999996765894145,0.022277467226992642,0.20186549001710585,1.0,0.9999935477839162,1.0,1.3664628692122704e-05,1.0,1.0,0.8039483028376179,0.005432861293049096,1.0,1.0,0.000186419897853618,8.309848095744421e-06,1.0,0.9999994736127387,1.0,3.308081413966324e-05,1.0,1.0,0.8571614372155926,0.0016335845976975794,1.0,0.9999996765894145
SVC | LDA | default,0.736220718091457,0.9999999999836826,0.00017896621901913878,0.003349605418691781,0.99999901398864,0.9999999999999786,0.03267841511677316,0.0016335845976975794,0.9999999813974146,0.9999999999999998,6.3146233745259295e-06,2.3721705706414298e-06,7.639025412231604e-09,6.1463725220534116e-09,0.00017896621901913878,6.707120769888775e-08,0.9999999997967114,0.9998023768599238,2.2294314153237238e-05,0.10522306254629443,4.7874286438487346e-06,1.0,5.096475369625875e-05,0.0005462292352566012,0.8860543551601363,0.9999999999999998,5.096475369625875e-05,0.000186419897853618,1.0,1.0,0.00017896621901913878,0.06862774675086836,0.0001519093637046831,1.0,6.611366950348696e-06,0.003988432504420714,0.8388851926252757,1.0,0.0003409211683601532,6.707120769888775e-08
SVC | LDA | gwo,0.2815912077440589,0.999987498668795,7.939413572466414e-06,0.00021931788801354823,0.9972300168337604,0.9999994736127387,0.0032339033484306556,9.623898454957924e-05,0.9996062501732411,0.9999999313935625,1.9613840529508764e-07,6.707120769888775e-08,1.3162182455062066e-10,1.0407985584492963e-10,7.939413572466414e-06,1.381359693297668e-09,0.9999572416415569,0.9646775675046186,7.863407842645387e-07,0.014038438720493596,1.4474684073562116e-07,1.0,1.962376234732055e-06,2.7777451257482433e-05,0.46024132729236544,0.9999999313935625,1.962376234732055e-06,8.309848095744421e-06,1.0,1.0,7.939413572466414e-06,0.00811787999624769,6.611366950348696e-06,1.0,2.0628211838680244e-07,0.0002682971829121028,0.3900712189097346,0.9999999999537743,1.6341870383351775e-05,1.381359693297668e-09
SVC | PCA | default,0.9234091295600458,0.015910069685465156,1.0,1.0,0.07417540822457347,0.00785435145789759,0.9999999954110016,1.0,0.039893267251920106,0.005251188337715318,1.0,0.9999999999999947,0.9999243073122084,0.999882814101709,1.0,0.9999997259415971,0.021616080691897577,0.19772059699028377,1.0,0.9999926161190934,1.0,1.3064758065617355e-05,1.0,1.0,0.7986646268244456,0.005251188337715318,1.0,1.0,0.00017896621901913878,7.939413572466414e-06,1.0,0.9999993827622907,1.0,3.167001454196239e-05,1.0,1.0,0.8527110375202365,0.0015746858294324317,1.0,0.9999997259415971
SVC | PCA | gwo,0.9999999997421158,0.6673039604036033,0.9999993827622907,0.9999999999999947,0.929163474341557,0.5201317926985691,1.0,0.999999999996864,0.843572320537625,0.4406981775554123,0.9967853267651227,0.9871268608042217,0.5066994618254642,0.4800250493062883,0.9999993827622907,0.7712221898613587,0.7301890171618115,0.9916123558025707,0.9997052402314939,1.0,0.9950659666189392,0.011604366872581262,0.9999619866314222,0.9999999962732679,0.9999998831863158,0.4406981775554123,0.9999619866314222,0.9999994736127387,0.06862774675086836,0.00811787999624769,0.9999993827622907,1.0,0.9999988508488764,0.021616080691897577,0.9970147882065196,0.9999999999999992,0.9999999846775287,0.24665570133336134,0.9999999603472837,0.7712221898613587
VQC | LDA | default,0.9109547792932047,0.014038438720493485,1.0,1.0,0.06685789147179544,0.006877193899191614,0.9999999896655217,1.0,0.035616391101839784,0.004579465515583081,1.0,0.9999999999999988,0.9999519595576247,0.9999243073122084,1.0,0.9999998609955637,0.019143268177440942,0.18174492979450552,1.0,0.999987498668795,1.0,1.0910241404538112e-05,1.0,1.0,0.7768429013129663,0.004579465515583081,1.0,1.0,0.0001519093637046831,6.611366950348696e-06,1.0,0.9999988508488764,1.0,2.6585806686352242e-05,1.0,1.0,0.8341204487718805,0.0013585348072800985,1.0,0.9999998609955637
