fold,model,family,reduction,optimizer,n_train,n_test,inner_f1,n_evaluations,convergence,stopped_early,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,dataset
0,VQC,quantum,LDA,pso,1200,10962,0.2647431406268798,85,"[0.24728350073360064, 0.2539977929373997, 0.2539977929373997, 0.2539977929373997, 0.2647431406268798, 0.2647431406268798, 0.2647431406268798, 0.2647431406268798, 0.2647431406268798, 0.2647431406268798, 0.2647431406268798, 0.2647431406268798]",False,760.1688110000105,"{'n_layers': 5, 'learning_rate': 0.49999999999999994, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'circular', 'init_scale': 0.5}",0.8805874840357599,0.3015873015873015,0.3051391862955032,0.3033528472591804,0.6196617351501449,0.2380571068857067,0.7110623444932348,9368,660,649,285,ok,3.935611699998845,1,HR Promotion
1,VQC,quantum,LDA,pso,1200,10962,0.2283615463659289,96,"[0.20629574535100934, 0.22065066906669392, 0.22065066906669392, 0.22129385647221886, 0.22129385647221886, 0.22129385647221886, 0.22129385647221886, 0.22129385647221886, 0.22836154636592898, 0.22836154636592898, 0.22836154636592898, 0.22836154636592898]",False,916.8945834999904,"{'n_layers': 6, 'learning_rate': 0.002882008195248883, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'full', 'init_scale': 0.26103542032685473}",0.6941251596424011,0.1582367900536875,0.5995717344753747,0.2503912363067292,0.651251762730308,0.1806263182012835,0.7143310828182161,7049,2979,374,560,ok,2.924377499963157,1,HR Promotion
2,VQC,quantum,LDA,pso,1200,10962,0.249025168380007,96,"[0.24716685240404404, 0.24716685240404404, 0.24716685240404404, 0.24716685240404404, 0.24716685240404404, 0.24716685240404404, 0.24889880237466114, 0.24889880237466114, 0.24889880237466114, 0.24889880237466114, 0.24889880237466114, 0.24902516838000707]",False,932.3252551000332,"{'n_layers': 6, 'learning_rate': 0.08092372262381539, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'full', 'init_scale': 0.30857013875730044}",0.6715015508118957,0.1482458454233711,0.6017130620985011,0.2378835978835979,0.6398573288155049,0.1641833346608409,0.7053870148594642,6799,3229,372,562,ok,2.3042830000049435,1,HR Promotion
3,VQC,quantum,LDA,pso,1200,10961,0.2508989340319651,95,"[0.22980613689212417, 0.24779512013525073, 0.24779512013525073, 0.24786369170229583, 0.24786369170229583, 0.24786369170229583, 0.24786369170229583, 0.24786369170229583, 0.24786369170229583, 0.2495556852687376, 0.2495556852687376, 0.25089893403196517]",False,917.831749200006,"{'n_layers': 6, 'learning_rate': 0.12088719169946817, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'linear', 'init_scale': 0.020301423872095513}",0.7102454155642733,0.1569287243805445,0.5498392282958199,0.2441694431223227,0.6375043768124493,0.1677518831750501,0.6956927890224628,7272,2756,420,513,ok,2.7643840000382625,1,HR Promotion
4,VQC,quantum,LDA,pso,1200,10961,0.2050471706160329,92,"[0.19728716508491573, 0.19728716508491573, 0.19926152075388925, 0.19989684644857056, 0.19989684644857056, 0.19989684644857056, 0.19989684644857056, 0.19989684644857056, 0.20504717061603292, 0.20504717061603292, 0.20504717061603292, 0.20504717061603292]",False,728.9612403000356,"{'n_layers': 4, 'learning_rate': 0.49999999999999994, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'full', 'init_scale': 0.459000860416229}",0.2897545844357266,0.1022753656837706,0.9442658092175776,0.1845605949512936,0.5865625017368303,0.1177738307061829,0.7017302250376332,2295,7733,52,881,ok,3.765571700001601,1,HR Promotion
5,VQC,quantum,LDA,pso,1200,10962,0.2711776987754641,96,"[0.22990655065566742, 0.23612259410629302, 0.24590096417125143, 0.2676688453159041, 0.2691282554283109, 0.2691282554283109, 0.2691282554283109, 0.2691282554283109, 0.2691282554283109, 0.2691282554283109, 0.27117769877546416, 0.27117769877546416]",False,900.9711994000244,"{'n_layers': 6, 'learning_rate': 0.0029902371071847222, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'full', 'init_scale': 0.2778139271520717}",0.7120051085568327,0.1620553359683794,0.5706638115631691,0.2524271844660194,0.647916668446124,0.1802242293579444,0.7167290793487016,7272,2756,401,533,ok,3.281325999996625,1,HR Promotion
6,VQC,quantum,LDA,pso,1200,10962,0.2715435527995728,96,"[0.21829164155113523, 0.23254186686569947, 0.23254186686569947, 0.24817543317363003, 0.24817543317363003, 0.24817543317363003, 0.24817543317363003, 0.2715435527995728, 0.2715435527995728, 0.2715435527995728, 0.2715435527995728, 0.2715435527995728]",False,918.8074812000268,"{'n_layers': 6, 'learning_rate': 0.13074164749776895, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'linear', 'init_scale': 0.2538462806205629}",0.6452289728151797,0.1524347212420607,0.6937901498929336,0.2499517839922854,0.6672480865140775,0.1916604847489512,0.7214577555435786,6425,3603,286,648,ok,2.7049964999896474,1,HR Promotion
7,VQC,quantum,LDA,pso,1200,10962,0.2567223638799555,96,"[0.2504752681541563, 0.2520071678392191, 0.2520564614055441, 0.2520564614055441, 0.2520564614055441, 0.2520564614055441, 0.2544476492267033, 0.2544476492267033, 0.2544476492267033, 0.2544476492267033, 0.2544476492267033, 0.25672236387995556]",False,861.3486744000111,"{'n_layers': 6, 'learning_rate': 0.013477690398689774, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'circular', 'init_scale': 0.037125986041979066}",0.6372012406495166,0.1503102735003447,0.7002141327623126,0.2474929044465468,0.6657732012036532,0.1891894001842799,0.7310400792128934,6331,3697,280,654,ok,3.777561599970795,1,HR Promotion
8,VQC,quantum,LDA,pso,1200,10961,0.2565245241035216,96,"[0.24513270092339254, 0.2523981149988259, 0.2536008081974311, 0.2536008081974311, 0.2536008081974311, 0.25366858755938054, 0.25366858755938054, 0.2565245241035216, 0.2565245241035216, 0.2565245241035216, 0.2565245241035216, 0.2565245241035216]",False,839.4097303000162,"{'n_layers': 4, 'learning_rate': 0.004856946203781264, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'full', 'init_scale': 0.19107848511971703}",0.677584162029012,0.1549482621384982,0.6259378349410504,0.2484049340706082,0.6541635724366202,0.1811431175129187,0.7106660300782675,6843,3185,349,584,ok,3.253594500012696,1,HR Promotion
9,VQC,quantum,LDA,pso,1200,10961,0.2509033748958849,93,"[0.21063489542983715, 0.22415413892569505, 0.2245226495254129, 0.2435897435897436, 0.2435897435897436, 0.2435897435897436, 0.2435897435897436, 0.2435897435897436, 0.2435897435897436, 0.2509033748958849, 0.2509033748958849, 0.2509033748958849]",False,877.4380282000056,"{'n_layers': 6, 'learning_rate': 0.3201242899081976, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'full', 'init_scale': 0.47591504965571163}",0.4279719003740534,0.1155453104739951,0.8595927116827439,0.2037084074168148,0.6237034160727242,0.1432635221997308,0.7264858824017296,3889,6139,131,802,ok,3.4469538999837823,1,HR Promotion
