fold,model,family,reduction,optimizer,n_train,n_test,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,balance,dataset
11,QSVC,quantum,LDA,default,491,123,3.00002284348011e-07,{},0.5772357723577236,0.7704918032786885,0.5529411764705883,0.6438356164383562,0.5922600619195046,0.17052349935064803,0.6086687306501548,24,14,38,47,ok,1.2305104999686591,1,undersample,Loan Approval
12,QSVC,quantum,LDA,default,491,123,3.00002284348011e-07,{},0.4796747967479675,0.7272727272727273,0.38095238095238093,0.5,0.5366300366300366,0.07112125495471922,0.5445665445665445,27,12,52,32,ok,1.2101820000098087,1,undersample,Loan Approval
13,QSVC,quantum,LDA,default,491,123,3.00002284348011e-07,{},0.4796747967479675,0.6724137931034483,0.4642857142857143,0.5492957746478874,0.48855311355311354,-0.021341190462426694,0.53998778998779,20,19,45,39,ok,1.3120530999731272,1,undersample,Loan Approval
14,QSVC,quantum,LDA,default,492,122,3.00002284348011e-07,{},0.5901639344262295,0.7931034482758621,0.5476190476190477,0.647887323943662,0.6159147869674186,0.2149791268384763,0.6585213032581454,26,12,38,46,ok,1.2617559999926016,1,undersample,Loan Approval
0,RandomForest,classical,LDA,default,491,123,1.00000761449337e-07,{},0.6504065040650406,0.8620689655172413,0.5882352941176471,0.6993006993006993,0.6888544891640866,0.3496132586911121,0.7865325077399381,30,8,35,50,ok,0.42004860000452027,1,undersample,Loan Approval
1,RandomForest,classical,LDA,default,491,123,2.00001522898674e-07,{},0.6910569105691057,0.8405797101449275,0.6823529411764706,0.7532467532467533,0.6964396284829721,0.3657959861171467,0.7786377708978329,27,11,27,58,ok,0.442049200006295,1,undersample,Loan Approval
2,RandomForest,classical,LDA,default,491,123,2.00001522898674e-07,{},0.6422764227642277,0.7857142857142857,0.6547619047619048,0.7142857142857143,0.63507326007326,0.25385420945415316,0.7263431013431013,24,15,29,55,ok,0.38012929999968037,1,undersample,Loan Approval
3,RandomForest,classical,LDA,default,491,123,2.00001522898674e-07,{},0.5691056910569106,0.7384615384615385,0.5714285714285714,0.6442953020134228,0.5677655677655677,0.12633984753756602,0.6428571428571429,22,17,36,48,ok,0.41329729999415576,1,undersample,Loan Approval
4,RandomForest,classical,LDA,default,492,122,1.00000761449337e-07,{},0.6147540983606558,0.7761194029850746,0.6190476190476191,0.6887417218543046,0.6121553884711779,0.20876747323468342,0.7531328320802004,23,15,32,52,ok,0.4403821000014432,1,undersample,Loan Approval
5,RandomForest,classical,LDA,default,491,123,2.00001522898674e-07,{},0.6422764227642277,0.8253968253968254,0.611764705882353,0.7027027027027027,0.6611455108359133,0.29792268161776553,0.7580495356037151,27,11,33,52,ok,0.4447613999946043,1,undersample,Loan Approval
